time,ANM,Non-ANM,Total
2021-12-11 17:37:00+00:00,9.774561,16.179,25.953561
2021-12-11 17:38:00+00:00,10.11456,16.159,26.27356
2021-12-11 17:39:00+00:00,10.044558,16.18,26.224558000000002
2021-12-11 17:40:00+00:00,10.083557,16.236,26.319557000000003
2021-12-11 17:41:00+00:00,9.374557,16.862,26.236556999999998
2021-12-11 17:42:00+00:00,9.367558,16.045,25.412558000000004
2021-12-11 17:43:00+00:00,9.409562,16.502,25.911561999999996
2021-12-11 17:44:00+00:00,9.385559,16.575,25.960559
2021-12-11 17:45:00+00:00,9.46756,16.629,26.096560000000004
2021-12-11 17:46:00+00:00,9.367558,16.55,25.917558
2021-12-11 17:47:00+00:00,9.251558,16.644,25.895557999999998
2021-12-11 17:48:00+00:00,9.315561,16.811,26.126561000000002
2021-12-11 17:49:00+00:00,8.851558,16.868,25.719558
2021-12-11 17:50:00+00:00,9.471557,16.664,26.135557000000002
2021-12-11 17:51:00+00:00,9.209557,16.382,25.591557
2021-12-11 17:52:00+00:00,8.914557,16.504,25.418557
2021-12-11 17:53:00+00:00,8.561558,16.481,25.042558
2021-12-11 17:54:00+00:00,8.936559,16.247,25.183559000000002
2021-12-11 17:55:00+00:00,8.963559,16.33,25.293559
2021-12-11 17:56:00+00:00,8.879558,15.983,24.862558
2021-12-11 17:57:00+00:00,10.114557,16.273,26.387557
2021-12-11 17:58:00+00:00,10.170561,16.124,26.294560999999998
2021-12-11 17:59:00+00:00,10.640559,16.114,26.754559
2021-12-11 18:00:00+00:00,10.157558,15.934,26.091558
2021-12-11 18:01:00+00:00,10.10656,16.025,26.13156
2021-12-11 18:02:00+00:00,10.204558,16.049,26.253557999999998
2021-12-11 18:03:00+00:00,9.661561,16.108,25.769561000000003
2021-12-11 18:04:00+00:00,10.080557,16.36,26.440557
2021-12-11 18:05:00+00:00,9.624557,16.187,25.811557
2021-12-11 18:06:00+00:00,9.84156,16.073,25.91456
2021-12-11 18:07:00+00:00,9.526559,15.989,25.515559000000003
2021-12-11 18:08:00+00:00,9.36056,16.107,25.46756
2021-12-11 18:09:00+00:00,9.355557,16.056,25.411557000000002
2021-12-11 18:10:00+00:00,9.306561,15.878,25.184561000000002
2021-12-11 18:11:00+00:00,9.051558,15.904,24.955558
2021-12-11 18:12:00+00:00,9.226557,15.976,25.202557
2021-12-11 18:13:00+00:00,9.400556,15.829,25.229556000000002
2021-12-11 18:14:00+00:00,8.79856,16.201,24.999560000000002
2021-12-11 18:15:00+00:00,8.529558,16.027,24.556558000000003
2021-12-11 18:16:00+00:00,9.013558,16.471,25.484558
2021-12-11 18:17:00+00:00,8.46756,16.425,24.892560000000003
2021-12-11 18:18:00+00:00,8.578558,16.276,24.854557999999997
2021-12-11 18:19:00+00:00,8.160559,16.223,24.383558999999998
2021-12-11 18:20:00+00:00,7.801558,16.301,24.102558
2021-12-11 18:21:00+00:00,8.055557,16.013,24.068557000000002
2021-12-11 18:22:00+00:00,7.951557,16.248,24.199557000000002
2021-12-11 18:23:00+00:00,7.621559,16.664,24.285559000000003
2021-12-11 18:24:00+00:00,8.024558,16.647,24.671557999999997
2021-12-11 18:25:00+00:00,8.06856,16.446,24.514560000000003
2021-12-11 18:26:00+00:00,7.970556,16.831,24.801555999999998
2021-12-11 18:27:00+00:00,8.146561,16.651,24.797561
2021-12-11 18:28:00+00:00,7.266558,16.82,24.086558
2021-12-11 18:29:00+00:00,7.64956,16.829,24.47856
2021-12-11 18:30:00+00:00,7.172556,16.416,23.588556
2021-12-11 18:31:00+00:00,6.34356,16.846,23.18956
2021-12-11 18:32:00+00:00,6.06956,16.713,22.78256
2021-12-11 18:33:00+00:00,7.164556,17.052,24.216556
2021-12-11 18:34:00+00:00,7.535558,16.427,23.962558
2021-12-11 18:35:00+00:00,8.056559,16.624,24.680559
2021-12-11 18:36:00+00:00,8.80056,16.668,25.46856
2021-12-11 18:37:00+00:00,8.65956,16.802,25.46156
2021-12-11 18:38:00+00:00,7.622556,17.017,24.639556
2021-12-11 18:39:00+00:00,8.357558,17.048,25.405558
2021-12-11 18:40:00+00:00,7.589557,16.328,23.917557
2021-12-11 18:41:00+00:00,6.742558,16.441,23.183557999999998
2021-12-11 18:42:00+00:00,6.970559,16.103,23.073559000000003
2021-12-11 18:43:00+00:00,7.255559,15.326,22.581559
2021-12-11 18:44:00+00:00,6.947559,14.562,21.509559
2021-12-11 18:45:00+00:00,7.847556,14.543,22.390556
2021-12-11 18:46:00+00:00,7.026559,14.07,21.096559
2021-12-11 18:47:00+00:00,7.05056,13.339,20.38956
2021-12-11 18:48:00+00:00,7.359559,12.767,20.126559
2021-12-11 18:49:00+00:00,6.989557,12.511,19.500557
2021-12-11 18:50:00+00:00,6.463558,12.692,19.155558
2021-12-11 18:51:00+00:00,6.639561,12.713,19.352560999999998
2021-12-11 18:52:00+00:00,6.34056,12.693,19.03356
2021-12-11 18:53:00+00:00,6.35756,12.918,19.27556
2021-12-11 18:54:00+00:00,6.56856,12.919,19.487560000000002
2021-12-11 18:55:00+00:00,6.469558,13.449,19.918558
2021-12-11 18:56:00+00:00,6.311558,13.147,19.458558
2021-12-11 18:57:00+00:00,6.388557,12.902,19.290557
2021-12-11 18:58:00+00:00,6.697559,12.973,19.670559
2021-12-11 18:59:00+00:00,6.759557,12.824,19.583557
2021-12-11 19:00:00+00:00,6.494558,12.422,18.916558000000002
2021-12-11 19:01:00+00:00,7.008558,12.173,19.181558
2021-12-11 19:02:00+00:00,6.995561,12.795,19.790561
2021-12-11 19:03:00+00:00,7.08356,12.611,19.694560000000003
2021-12-11 19:04:00+00:00,6.916557,12.863,19.779557
2021-12-11 19:05:00+00:00,6.331556,12.899,19.230556
2021-12-11 19:06:00+00:00,6.043561,12.551,18.594561
2021-12-11 19:07:00+00:00,6.307559,12.388,18.695559
